train_acc,train_loss,val_acc,val_loss
0.02656842105263158,4.3993263,0.0436,4.299338
0.053936842105263165,4.0901823,0.0532,4.466017
0.0740842105263158,3.9551263,0.0876,3.842872
0.09073684210526317,3.8589113,0.1024,3.789628
0.10250526315789475,3.7910202,0.0992,3.7728653
0.11625263157894737,3.7107441,0.1204,3.673533
0.12858947368421053,3.6368184,0.12960000000000002,3.6058245
0.14353684210526318,3.562721,0.1532,3.473284
0.15816842105263157,3.4844418,0.174,3.385216
0.1696,3.417224,0.17920000000000003,3.3374376
0.17806315789473684,3.3662314,0.18200000000000002,3.368078
0.1898736842105263,3.3016493,0.184,3.33124
0.19890526315789475,3.247868,0.18919999999999998,3.326441
0.21309473684210525,3.189679,0.2168,3.1698158
0.2209894736842105,3.132083,0.22719999999999999,3.079858
0.23254736842105264,3.0746582,0.2284,3.0704138
0.24246315789473685,3.013984,0.23800000000000002,3.0212033
0.25370526315789477,2.958328,0.24240000000000003,2.9914384
0.26656842105263157,2.897223,0.2664,2.880227
0.2736631578947368,2.843178,0.2816,2.8246734
0.28627368421052635,2.7908728,0.296,2.7920704
0.29452631578947364,2.7394965,0.29719999999999996,2.754666
0.3057263157894736,2.693898,0.28840000000000005,2.815214
0.3146315789473685,2.6446295,0.30760000000000004,2.7284405
0.32429473684210525,2.592056,0.32120000000000004,2.6166391
0.33208421052631576,2.5590281,0.30519999999999997,2.7395391
0.3380421052631579,2.5188704,0.3236,2.5821707
0.35229473684210527,2.4750469,0.33,2.5588
0.356378947368421,2.4314973,0.34519999999999995,2.4787004
0.3630736842105263,2.4072323,0.34879999999999994,2.5340862
0.3706736842105263,2.3705988,0.3516,2.5059156
0.3802736842105263,2.3327243,0.35359999999999997,2.4192529
0.3817894736842105,2.308068,0.3656000000000001,2.391043
0.3916842105263158,2.2738743,0.36879999999999996,2.401713
0.39854736842105265,2.2397215,0.3552,2.4086144
0.40509473684210523,2.2147632,0.384,2.3125243
0.41101052631578944,2.1876721,0.37199999999999994,2.4293406
